Author,Tag,Sentence,Length,Clean_Sentence
Stoker,atmosphere,"<delay type=""withheld-info"">Strangely, too, the departure of this rat was instantly
followed by the renewal of the noise made by the general rat community.</delay>

On this occasion, as on the previous one, Malcolmson could not see at
what part of the room the rat disappeared,

<atmosphere>for the green shade of his
lamp left the upper part of the room in darkness and the fire had burned
low.</atmosphere>

On looking at his watch he found it was close on midnight, and, not
sorry for the divertissement, he made up his fire and made himself his
nightly pot of tea.",103,"Strangely, too, the departure of this rat was instantly
followed by the renewal of the noise made by the general rat community.

On this occasion, as on the previous one, Malcolmson could not see at
what part of the room the rat disappeared,

for the green shade of his
lamp left the upper part of the room in darkness and the fire had burned
low.

On looking at his watch he found it was close on midnight, and, not
sorry for the divertissement, he made up his fire and made himself his
nightly pot of tea."
Stoker,delay:withheld-info,"<delay type=""withheld-info"">Strangely, too, the departure of this rat was instantly
followed by the renewal of the noise made by the general rat community.</delay>

On this occasion, as on the previous one, Malcolmson could not see at
what part of the room the rat disappeared,

<atmosphere>for the green shade of his
lamp left the upper part of the room in darkness and the fire had burned
low.</atmosphere>

On looking at his watch he found it was close on midnight, and, not
sorry for the divertissement, he made up his fire and made himself his
nightly pot of tea.",103,"Strangely, too, the departure of this rat was instantly
followed by the renewal of the noise made by the general rat community.

On this occasion, as on the previous one, Malcolmson could not see at
what part of the room the rat disappeared,

for the green shade of his
lamp left the upper part of the room in darkness and the fire had burned
low.

On looking at his watch he found it was close on midnight, and, not
sorry for the divertissement, he made up his fire and made himself his
nightly pot of tea."
Stoker,delay:foreshadowing,"<delay type=""foreshadowing"">As he handled it he could not help noticing how pliable it was, especially for so
strong a rope and one not in use.",27,"As he handled it he could not help noticing how pliable it was, especially for so
strong a rope and one not in use."
Stoker,delay:foreshadowing,"""You could hang a man with it,"" he
thought to himself.</delay>

When his preparations were made he looked around,
and said complacently:

<delay type=""foreshadowing"">""There now, my friend, I think we shall learn something of you this
time!""</delay>

He began his work again, and though, as before, somewhat
disturbed at first by the noise of the rats, soon lost himself in his
proposition and problems.",68,"""You could hang a man with it,"" he
thought to himself.

When his preparations were made he looked around,
and said complacently:

""There now, my friend, I think we shall learn something of you this
time!""

He began his work again, and though, as before, somewhat
disturbed at first by the noise of the rats, soon lost himself in his
proposition and problems."
Stoker,delay:withheld-info,"<delay type=""withheld-info"">This time it might not have been the sudden silence only which took his attention;
there was a slight movement of the rope, and the lamp moved.</delay>

Without stirring, he looked to see if his pile of books was within range, and
then cast his eye along the rope.",54,"This time it might not have been the sudden silence only which took his attention;
there was a slight movement of the rope, and the lamp moved.

Without stirring, he looked to see if his pile of books was within range, and
then cast his eye along the rope."
Stoker,amb,"<amb>As he looked he saw the great rat drop from the rope on the oak arm-chair and sit there glaring at him.</amb>

He raised a book in his right hand, and taking careful aim, flung it at the
rat.",42,"As he looked he saw the great rat drop from the rope on the oak arm-chair and sit there glaring at him.

He raised a book in his right hand, and taking careful aim, flung it at the
rat."
Stoker,delay:withheld-info,"<delay type=""withheld-info"">Malcolmson kept his eyes on the rat, and saw it by the light of the second lamp leap to a
moulding of the wainscot and disappear through a hole in one of the
great pictures which hung on the wall, obscured and invisible through
its coating of dirt and dust.</delay>

""I shall look up my friend's habitation in the morning,"" said the
student, as he went over to collect his books.",77,"Malcolmson kept his eyes on the rat, and saw it by the light of the second lamp leap to a
moulding of the wainscot and disappear through a hole in one of the
great pictures which hung on the wall, obscured and invisible through
its coating of dirt and dust.

""I shall look up my friend's habitation in the morning,"" said the
student, as he went over to collect his books."
Stoker,amb,"<amb>He looked round uneasily and shivered slightly, as he murmured to himself:

""The Bible my mother gave me!",19,"He looked round uneasily and shivered slightly, as he murmured to himself:

""The Bible my mother gave me!"
Stoker,delay:withheld-info,"Witham got fiery
red and turned away, but the doctor was a frank and ready man, and he
answered at once and openly:

<delay type=""withheld-info"">""She did, but she didn't intend you to know it.",38,"Witham got fiery
red and turned away, but the doctor was a frank and ready man, and he
answered at once and openly:

""She did, but she didn't intend you to know it."
Stoker,amb,<amb>Dr.,2,Dr.
Stoker,delay:withheld-info,"Witham had been restored he asked:

""The rat always went up the rope of the alarm bell?""</amb>

""Always.""

""I suppose you know,"" said the Doctor after a pause, ""what that rope is?""

""No?""

<delay type=""withheld-info"">""It is,"" said the Doctor slowly, ""the very rope which the hangman used
for all the victims of the Judge's judicial rancour!""</delay>

Here he was interrupted by another scream from Mrs.",71,"Witham had been restored he asked:

""The rat always went up the rope of the alarm bell?""

""Always.""

""I suppose you know,"" said the Doctor after a pause, ""what that rope is?""

""No?""

""It is,"" said the Doctor slowly, ""the very rope which the hangman used
for all the victims of the Judge's judicial rancour!""

Here he was interrupted by another scream from Mrs."
Stoker,amb,"<amb>It may be that he is in
a highly over-wrought state, and has been studying too much, although I
am bound to say that he seems as sound and healthy a young man, mentally
and bodily, as ever I saw--but then the rats--and that suggestion of
the devil.""</amb>

The doctor shook his head and went on.",61,"It may be that he is in
a highly over-wrought state, and has been studying too much, although I
am bound to say that he seems as sound and healthy a young man, mentally
and bodily, as ever I saw--but then the rats--and that suggestion of
the devil.""

The doctor shook his head and went on."
Stoker,delay:foreshadowing,"<delay type=""foreshadowing"">He may get in the night some strange
fright or hallucination, and if he does I want him to pull that rope.</delay>


All alone as he is it will give us warning, and we may reach him in time
to be of service.",47,"He may get in the night some strange
fright or hallucination, and if he does I want him to pull that rope.


All alone as he is it will give us warning, and we may reach him in time
to be of service."
Stoker,delay:foreshadowing,"<delay type=""foreshadowing"">Do not be alarmed if Benchurch gets a surprise before
morning.""</delay>

""Oh, Doctor, what do you mean?",21,"Do not be alarmed if Benchurch gets a surprise before
morning.""

""Oh, Doctor, what do you mean?"
Stoker,atmosphere,"<atmosphere>The evening was colder than might have been expected in April, and a heavy
wind was blowing with such rapidly-increasing strength that there was
every promise of a storm during the night.</atmosphere>

For a few minutes after his
entrance the noise of the rats ceased, but so soon as they became
accustomed to his presence they began again.",61,"The evening was colder than might have been expected in April, and a heavy
wind was blowing with such rapidly-increasing strength that there was
every promise of a storm during the night.

For a few minutes after his
entrance the noise of the rats ceased, but so soon as they became
accustomed to his presence they began again."
Stoker,amb,"<amb>He was glad to hear them, for he felt once more the feeling of companionship in their noise,</amb>

<amb>and his mind ran back to the strange fact that they only ceased to manifest
themselves when the other--the great rat with the baleful eyes--came
upon the scene.</amb>

The reading-lamp only was lit and its green shade kept
the ceiling and the upper part of the room in darkness so that the
cheerful light from the hearth spreading over the floor and shining on
the white cloth laid over the end of the table was warm and cheery.",103,"He was glad to hear them, for he felt once more the feeling of companionship in their noise,

and his mind ran back to the strange fact that they only ceased to manifest
themselves when the other--the great rat with the baleful eyes--came
upon the scene.

The reading-lamp only was lit and its green shade kept
the ceiling and the upper part of the room in darkness so that the
cheerful light from the hearth spreading over the floor and shining on
the white cloth laid over the end of the table was warm and cheery."
Stoker,amb,"<amb>He was glad to hear them, for he felt once more the feeling of companionship in their noise,</amb>

<amb>and his mind ran back to the strange fact that they only ceased to manifest
themselves when the other--the great rat with the baleful eyes--came
upon the scene.</amb>

The reading-lamp only was lit and its green shade kept
the ceiling and the upper part of the room in darkness so that the
cheerful light from the hearth spreading over the floor and shining on
the white cloth laid over the end of the table was warm and cheery.",103,"He was glad to hear them, for he felt once more the feeling of companionship in their noise,

and his mind ran back to the strange fact that they only ceased to manifest
themselves when the other--the great rat with the baleful eyes--came
upon the scene.

The reading-lamp only was lit and its green shade kept
the ceiling and the upper part of the room in darkness so that the
cheerful light from the hearth spreading over the floor and shining on
the white cloth laid over the end of the table was warm and cheery."
Stoker,atmosphere,"<atmosphere>The actual circumstances around him, and the
calls on his physical attention, and his nervous susceptibility were not
to be denied.",22,"The actual circumstances around him, and the
calls on his physical attention, and his nervous susceptibility were not
to be denied."
Stoker,amb,"The old house, solid though it was, seemed to shake to its
foundation, and the storm roared and raged through its many chimneys and
its queer old gables, producing strange, unearthly sounds in the empty
rooms and corridors.</atmosphere>

<amb>Even the great alarm-bell on the roof must have
felt the force of the wind, for the rope rose and fell slightly, as
though the bell were moved a little from time to time, and the limber
rope fell on the oak floor with a hard and hollow sound.</amb>

As Malcolmson listened to it he bethought himself of the doctor's words,
""It is the rope which the hangman used for the victims of the Judge's
judicial rancour,"" and he went over to the corner of the fireplace and
took it in his hand to look at it.",141,"The old house, solid though it was, seemed to shake to its
foundation, and the storm roared and raged through its many chimneys and
its queer old gables, producing strange, unearthly sounds in the empty
rooms and corridors.

Even the great alarm-bell on the roof must have
felt the force of the wind, for the rope rose and fell slightly, as
though the bell were moved a little from time to time, and the limber
rope fell on the oak floor with a hard and hollow sound.

As Malcolmson listened to it he bethought himself of the doctor's words,
""It is the rope which the hangman used for the victims of the Judge's
judicial rancour,"" and he went over to the corner of the fireplace and
took it in his hand to look at it."
Stoker,amb,"As he stood there the
swaying of the bell on the roof still lifted the rope now and again,</delay>

<amb>but presently there came a new sensation--a sort of tremor in the rope, as
though something was moving along it.</amb>

<amb>Looking up instinctively Malcolmson saw the great rat coming slowly down
towards him, glaring at him steadily.</amb>

He dropped the rope and started
back with a muttered curse, and the rat turning ran up the slope again
and disappeared, and at the same instant Malcolmson became conscious
that the noise of the other rats, which had ceased for a while, began
again.",107,"As he stood there the
swaying of the bell on the roof still lifted the rope now and again,

but presently there came a new sensation--a sort of tremor in the rope, as
though something was moving along it.

Looking up instinctively Malcolmson saw the great rat coming slowly down
towards him, glaring at him steadily.

He dropped the rope and started
back with a muttered curse, and the rat turning ran up the slope again
and disappeared, and at the same instant Malcolmson became conscious
that the noise of the other rats, which had ceased for a while, began
again."
Stoker,amb,"As he stood there the
swaying of the bell on the roof still lifted the rope now and again,</delay>

<amb>but presently there came a new sensation--a sort of tremor in the rope, as
though something was moving along it.</amb>

<amb>Looking up instinctively Malcolmson saw the great rat coming slowly down
towards him, glaring at him steadily.</amb>

He dropped the rope and started
back with a muttered curse, and the rat turning ran up the slope again
and disappeared, and at the same instant Malcolmson became conscious
that the noise of the other rats, which had ceased for a while, began
again.",107,"As he stood there the
swaying of the bell on the roof still lifted the rope now and again,

but presently there came a new sensation--a sort of tremor in the rope, as
though something was moving along it.

Looking up instinctively Malcolmson saw the great rat coming slowly down
towards him, glaring at him steadily.

He dropped the rope and started
back with a muttered curse, and the rat turning ran up the slope again
and disappeared, and at the same instant Malcolmson became conscious
that the noise of the other rats, which had ceased for a while, began
again."
Stoker,delay:withheld-info,"<delay type=""withheld-info"">At the first glance he started back so suddenly that he almost dropped
the lamp, and a deadly pallor overspread his face.</delay>

<delay type=""pacing"">His knees shook, and heavy drops of sweat came on his forehead, and he
trembled like an aspen.",48,"At the first glance he started back so suddenly that he almost dropped
the lamp, and a deadly pallor overspread his face.

His knees shook, and heavy drops of sweat came on his forehead, and he
trembled like an aspen."
Stoker,amb,"<amb>As he looked at them, Malcolmson grew cold, for he saw there the very
counterpart of the eyes of the great rat.</amb>

<delay type=""pacing"">The lamp almost fell from his
hand, he saw the rat with its baleful eyes peering out through the hole
in the corner of the picture, and noted the sudden cessation of the
noise of the other rats.</delay>

However, he pulled himself together, and went on with his examination of the picture.",80,"As he looked at them, Malcolmson grew cold, for he saw there the very
counterpart of the eyes of the great rat.

The lamp almost fell from his
hand, he saw the rat with its baleful eyes peering out through the hole
in the corner of the picture, and noted the sudden cessation of the
noise of the other rats.

However, he pulled himself together, and went on with his examination of the picture."
Stoker,amb,"<amb>With a feeling of something like horror, Malcolmson recognized the scene of the
room as it stood, and gazed around him in an awestruck manner as though
he expected to find some strange presence behind him.</amb>

<delay type=""withheld-info"">Then he looked over to the corner of the fireplace--and with a loud cry he let the
lamp fall from his hand.</delay>

<delay type=""pacing"">There, in the judge's arm-chair, with the rope hanging behind, sat the
rat with the Judge's baleful eyes, now intensified as with a fiendish
leer.</delay>

<atmosphere>Save for the howling of the storm without there was silence.</atmosphere>

The fallen lamp recalled Malcolmson to himself.",118,"With a feeling of something like horror, Malcolmson recognized the scene of the
room as it stood, and gazed around him in an awestruck manner as though
he expected to find some strange presence behind him.

Then he looked over to the corner of the fireplace--and with a loud cry he let the
lamp fall from his hand.

There, in the judge's arm-chair, with the rope hanging behind, sat the
rat with the Judge's baleful eyes, now intensified as with a fiendish
leer.

Save for the howling of the storm without there was silence.

The fallen lamp recalled Malcolmson to himself."
Stoker,atmosphere,"<amb>With a feeling of something like horror, Malcolmson recognized the scene of the
room as it stood, and gazed around him in an awestruck manner as though
he expected to find some strange presence behind him.</amb>

<delay type=""withheld-info"">Then he looked over to the corner of the fireplace--and with a loud cry he let the
lamp fall from his hand.</delay>

<delay type=""pacing"">There, in the judge's arm-chair, with the rope hanging behind, sat the
rat with the Judge's baleful eyes, now intensified as with a fiendish
leer.</delay>

<atmosphere>Save for the howling of the storm without there was silence.</atmosphere>

The fallen lamp recalled Malcolmson to himself.",118,"With a feeling of something like horror, Malcolmson recognized the scene of the
room as it stood, and gazed around him in an awestruck manner as though
he expected to find some strange presence behind him.

Then he looked over to the corner of the fireplace--and with a loud cry he let the
lamp fall from his hand.

There, in the judge's arm-chair, with the rope hanging behind, sat the
rat with the Judge's baleful eyes, now intensified as with a fiendish
leer.

Save for the howling of the storm without there was silence.

The fallen lamp recalled Malcolmson to himself."
Stoker,delay:withheld-info,"<amb>With a feeling of something like horror, Malcolmson recognized the scene of the
room as it stood, and gazed around him in an awestruck manner as though
he expected to find some strange presence behind him.</amb>

<delay type=""withheld-info"">Then he looked over to the corner of the fireplace--and with a loud cry he let the
lamp fall from his hand.</delay>

<delay type=""pacing"">There, in the judge's arm-chair, with the rope hanging behind, sat the
rat with the Judge's baleful eyes, now intensified as with a fiendish
leer.</delay>

<atmosphere>Save for the howling of the storm without there was silence.</atmosphere>

The fallen lamp recalled Malcolmson to himself.",118,"With a feeling of something like horror, Malcolmson recognized the scene of the
room as it stood, and gazed around him in an awestruck manner as though
he expected to find some strange presence behind him.

Then he looked over to the corner of the fireplace--and with a loud cry he let the
lamp fall from his hand.

There, in the judge's arm-chair, with the rope hanging behind, sat the
rat with the Judge's baleful eyes, now intensified as with a fiendish
leer.

Save for the howling of the storm without there was silence.

The fallen lamp recalled Malcolmson to himself."
Stoker,amb,"<amb>""This will not do,"" he said to himself.",9,"""This will not do,"" he said to himself."
Stoker,atmosphere,"<atmosphere>It was nearly an hour when he looked up from his book, disturbed by the
sudden stillness.",18,"It was nearly an hour when he looked up from his book, disturbed by the
sudden stillness."
Stoker,delay:withheld-info,"<delay type=""withheld-info"">Malcolmson felt for a moment another pang of terror as he thought
that now the possibility of calling the outer world to his assistance
was cut off,</delay>

but an intense anger took its place, and seizing the book
he was reading he hurled it at the rat.",52,"Malcolmson felt for a moment another pang of terror as he thought
that now the possibility of calling the outer world to his assistance
was cut off,

but an intense anger took its place, and seizing the book
he was reading he hurled it at the rat."
Stoker,amb,"<amb>He rubbed his eyes in surprise, and then a great fear began to come upon him.</amb>

In the centre of the picture was a great irregular patch of brown
canvas, as fresh as when it was stretched on the frame.",42,"He rubbed his eyes in surprise, and then a great fear began to come upon him.

In the centre of the picture was a great irregular patch of brown
canvas, as fresh as when it was stretched on the frame."
Stoker,amb,"<amb>The background was as before, with chair and chimney-corner and rope, but the figure of
the Judge had disappeared.</amb>

<delay type=""pacing"">Malcolmson, almost in a chill of horror, turned slowly round, and then
he began to shake and tremble like a man in a palsy.</delay>

His strength seemed
to have left him, and he was incapable of action or movement, hardly
even of thought.",69,"The background was as before, with chair and chimney-corner and rope, but the figure of
the Judge had disappeared.

Malcolmson, almost in a chill of horror, turned slowly round, and then
he began to shake and tremble like a man in a palsy.

His strength seemed
to have left him, and he was incapable of action or movement, hardly
even of thought."
Stoker,delay:cliffhanger,"<delay type=""cliffhanger"">Again the Judge raised the noose and tried to ensnare him, ever keeping his
baleful eyes fixed on him, and each time by a mighty effort the student
just managed to evade it.",36,"Again the Judge raised the noose and tried to ensnare him, ever keeping his
baleful eyes fixed on him, and each time by a mighty effort the student
just managed to evade it."
Stoker,atmosphere,"<atmosphere>At the sound the Judge, who had been keeping his eyes fixed on
Malcolmson, looked up, and a scowl of diabolical anger overspread his
face.",26,"At the sound the Judge, who had been keeping his eyes fixed on
Malcolmson, looked up, and a scowl of diabolical anger overspread his
face."
Stoker,delay:cliffhanger,"<delay type=""cliffhanger"">When the alarm-bell of the Judge's House began to sound a crowd soon
assembled.",19,"When the alarm-bell of the Judge's House began to sound a crowd soon
assembled."
Jacobs,atmosphere,"THE MONKEY’S PAW


<text>
<atmosphere>Without, the night was cold and wet, but in the small parlour of
Laburnam Villa the blinds were drawn and the fire burned brightly.</atmosphere>

Father and son were at chess, the former, who possessed ideas about the
game involving radical changes, putting his king into such sharp and
unnecessary perils that it even provoked comment from the white-haired
old lady knitting placidly by the fire.",73,"THE MONKEY’S PAW



Without, the night was cold and wet, but in the small parlour of
Laburnam Villa the blinds were drawn and the fire burned brightly.

Father and son were at chess, the former, who possessed ideas about the
game involving radical changes, putting his king into such sharp and
unnecessary perils that it even provoked comment from the white-haired
old lady knitting placidly by the fire."
Jacobs,atmosphere,"White, with sudden
and unlooked-for violence;

<atmosphere>“of all the beastly, slushy, out-of-the-way
places to live in, this is the worst.",25,"White, with sudden
and unlooked-for violence;

“of all the beastly, slushy, out-of-the-way
places to live in, this is the worst."
Jacobs,amb,"I suppose because
only two houses in the road are let, they think it doesn’t matter.”

“Never mind, dear,” said his wife, soothingly; “perhaps you’ll win the
next one.”

<amb>Mr.",33,"I suppose because
only two houses in the road are let, they think it doesn’t matter.”

“Never mind, dear,” said his wife, soothingly; “perhaps you’ll win the
next one.”

Mr."
Jacobs,amb,"White looked up sharply, just in time to intercept a knowing glance
between mother and son.</amb>

The words died away on his lips,

<amb>and he hid a guilty grin in his thin grey beard.</amb>

“There he is,” said Herbert White, as the gate banged to loudly and
heavy footsteps came toward the door.",56,"White looked up sharply, just in time to intercept a knowing glance
between mother and son.

The words died away on his lips,

and he hid a guilty grin in his thin grey beard.

“There he is,” said Herbert White, as the gate banged to loudly and
heavy footsteps came toward the door."
Jacobs,amb,"“I’d like to go to India myself,” said the old man, “just to look round
a bit, you know.”

<amb>“Better where you are,” said the sergeant-major, shaking his head.</amb>

He put down the empty glass, and sighing softly, shook it again.",45,"“I’d like to go to India myself,” said the old man, “just to look round
a bit, you know.”

“Better where you are,” said the sergeant-major, shaking his head.

He put down the empty glass, and sighing softly, shook it again."
Jacobs,delay:withheld-info,"<delay type=""withheld-info"">“What was that you started telling me the other day about a monkey’s paw or something,
Morris?”

“Nothing,” said the soldier, hastily.",27,"“What was that you started telling me the other day about a monkey’s paw or something,
Morris?”

“Nothing,” said the soldier, hastily."
Jacobs,delay:foreshadowing,"<delay type=""foreshadowing"">“It had a spell put on it by an old fakir,” said the sergeant-major, “a
very holy man.",22,"“It had a spell put on it by an old fakir,” said the sergeant-major, “a
very holy man."
Jacobs,delay:withheld-info,"Yes,” was the reply;

<delay type=""withheld-info"">“I don’t know what the first two were,</delay>

<delay type=""foreshadowing"">but the third was for death.",27,"Yes,” was the reply;

“I don’t know what the first two were,

but the third was for death."
